話数,吹き出し1,吹き出し2,吹き出し3,吹き出し4,吹き出し5,吹き出し6
彼女は祈りを忘れた 第1話,第1話：封印の扉,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第1話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,神社の奥、封印された扉が静かに開いた気がした――。
彼女は祈りを忘れた 第2話,第2話：禁足地,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第2話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,だがオレは進んだ。彼女の“祈り”の意味を知るために。
彼女は祈りを忘れた 第3話,第3話：影の少女,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第3話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,それは、もう“彼女”ではない何かに見えた。
彼女は祈りを忘れた 第4話,第4話：祈りの間,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第4話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,気づけば、そこは祈りの間と呼ばれる空間だった。
彼女は祈りを忘れた 第5話,第5話：彼女の願い,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第5話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,だがその声は、涙混じりの別れを含んでいた。
彼女は祈りを忘れた 第6話,第6話：空白の記憶,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第6話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,ページを開いた瞬間、視界が揺れた。
彼女は祈りを忘れた 第7話,第7話：祠の秘密,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第7話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,そして最後にこう書かれていた。『もう一度、会いたい』
彼女は祈りを忘れた 第8話,第8話：鈴の音,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第8話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,老婆は祠の中心で、何かを祈っていた。
彼女は祈りを忘れた 第9話,第9話：代償の真実,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第9話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,オレは覚悟を決めた。
彼女は祈りを忘れた 第10話,第10話：再会,そのとき、かすかに誰かの泣き声が聞こえた。彼女は祈りを忘れた 第10話の裏に隠された秘密に、彼の心は引き裂かれそうになる。,彼はゆっくりと歩を進めた。古びた石畳に足を踏み出すたびに、過去の記憶が鮮明に蘇る。,祭壇の上には誰かの手によって置かれたであろう古びた日記があった。そこには彼女の名前と、祈りの意味が綴られていた。,ページをめくるたび、彼は徐々にこの村の“祈り”の真実に近づいていく。そして、それが彼女の選択と深く結びついていることを知る。,その声は、確かに彼女だった。
